x/c,y/c,v/V,δ_1,δ_2,δ_3,Reδ_2,C_f,H_12,H_32,State,y1,Cp
1,0,0.2146,0.017492,0.008122,0.009134,589.2,0,2.1536,1.1246,sep.,0,0.95622
0.999,0.0003,0.4934,0.017492,0.008122,0.009134,1354.5,0,2.1536,1.1246,sep.,0,0.75802
0.9961,0.0011,0.6488,0.017492,0.008122,0.009134,1781.4,0,2.1536,1.1246,sep.,0,0.57984
0.9911,0.0025,0.7197,0.017492,0.008122,0.009134,1975.9,0,2.1536,1.1246,sep.,0,0.48264
0.9843,0.0044,0.7688,0.017492,0.008122,0.009134,2110.7,0,2.1536,1.1246,sep.,0,0.40936
0.9755,0.0068,0.8077,0.017492,0.008122,0.009134,2217.5,0,2.1536,1.1246,turb.,0,0.3479
0.9649,0.0097,0.8406,0.010818,0.005146,0.007957,1512.7,0.0012,2.102,1.5461,turb.,0.0123,0.29354
0.9524,0.0131,0.8696,0.008638,0.004564,0.00724,1381.8,0.0016,1.8925,1.5862,turb.,0.0104,0.24396
0.9382,0.0169,0.8957,0.007292,0.004118,0.006648,1279.5,0.002,1.771,1.6144,turb.,0.0094,0.19787
0.9222,0.021,0.9196,0.006336,0.003749,0.006132,1193,0.0023,1.6901,1.6358,turb.,0.0087,0.15446
0.9045,0.0255,0.9417,0.005615,0.003437,0.00568,1118.2,0.0025,1.6333,1.6523,turb.,0.0083,0.11315
0.8853,0.0304,0.9625,0.005043,0.003168,0.005275,1051.5,0.0028,1.5919,1.6652,turb.,0.008,0.07353
0.8645,0.0354,0.9822,0.004571,0.002929,0.004907,990.8,0.003,1.5607,1.6754,turb.,0.0077,0.03525
0.8423,0.0407,1.001,0.004166,0.002711,0.004565,933.9,0.0031,1.5366,1.6836,turb.,0.0075,-0.00198
0.8187,0.0462,1.019,0.003817,0.002514,0.004249,880.8,0.0033,1.5182,1.6901,turb.,0.0073,-0.03844
0.7939,0.0518,1.0365,0.003505,0.002331,0.003951,830.1,0.0034,1.5039,1.6953,turb.,0.0072,-0.07438
0.7679,0.0575,1.0536,0.003223,0.002159,0.003669,781.2,0.0035,1.4929,1.6993,turb.,0.0071,-0.11007
0.7409,0.0632,1.0704,0.002964,0.001996,0.003399,733.6,0.0036,1.4848,1.7024,turb.,0.007,-0.14573
0.7129,0.069,1.0871,0.002726,0.001843,0.003141,687.4,0.0037,1.4792,1.7045,turb.,0.0069,-0.1816
0.6841,0.0746,1.1036,0.002501,0.001695,0.00289,641.6,0.0038,1.476,1.7057,turb.,0.0068,-0.21791
0.6545,0.0802,1.1203,0.002291,0.001553,0.002648,596.6,0.0038,1.4756,1.7059,turb.,0.0067,-0.25484
0.6243,0.0856,1.137,0.002093,0.001415,0.002413,552.1,0.0039,1.4786,1.7047,turb.,0.0067,-0.29257
0.5937,0.0908,1.1539,0.00191,0.001285,0.002187,508.6,0.0039,1.4864,1.7018,turb.,0.0067,-0.33122
0.5627,0.0957,1.171,0.001743,0.001161,0.001969,466.2,0.0039,1.5016,1.6961,turb.,0.0067,-0.37088
0.5314,0.1004,1.1883,0.001597,0.001044,0.001761,425.5,0.0038,1.5296,1.6861,turb.,0.0068,-0.41155
0.5,0.1046,1.2057,0.00148,0.000935,0.00156,386.7,0.0035,1.582,1.6685,turb.,0.007,-0.45319
0.4686,0.1084,1.2232,0.00141,0.000837,0.001371,351.1,0.0031,1.6844,1.6376,turb.,0.0076,-0.49566
0.4373,0.1118,1.2407,0.001434,0.000753,0.001193,320.2,0.0022,1.9037,1.5842,turb.,0.0089,-0.53871
0.4063,0.1146,1.2581,0.002542,0.000688,0.001044,296.5,0.0002,3.6954,1.5172,lam.,0.0307,-0.58201
0.3757,0.1167,1.2752,0.002055,0.000636,0.000972,277.7,0.0006,3.2314,1.5285,lam.,0.0172,-0.62507
0.3455,0.1183,1.2917,0.001777,0.000587,0.000903,259.4,0.0009,3.0272,1.538,lam.,0.014,-0.6673
0.3159,0.1191,1.3074,0.001566,0.000541,0.000837,241.8,0.0012,2.8946,1.5463,lam.,0.0122,-0.70792
0.2871,0.1192,1.3219,0.001393,0.000498,0.000774,224.8,0.0015,2.7971,1.5537,lam.,0.0109,-0.74603
0.2591,0.1186,1.3349,0.001243,0.000457,0.000713,208,0.0018,2.7188,1.5604,lam.,0.0099,-0.78054
0.2321,0.1171,1.346,0.001113,0.000419,0.000657,191.9,0.0021,2.6547,1.5664,lam.,0.0091,-0.81017
0.2061,0.1149,1.3547,0.000994,0.000383,0.000602,176,0.0025,2.5976,1.5719,lam.,0.0084,-0.83345
0.1813,0.1119,1.3603,0.000891,0.000349,0.00055,160.7,0.0029,2.5522,1.5771,lam.,0.0078,-0.84866
0.1577,0.108,1.3622,0.000796,0.000317,0.000501,145.6,0.0034,2.5124,1.5819,lam.,0.0072,-0.85381
0.1355,0.1034,1.3595,0.000709,0.000287,0.000455,130.9,0.004,2.476,1.5864,lam.,0.0067,-0.84652
0.1147,0.098,1.3512,0.00063,0.000258,0.00041,116.5,0.0047,2.442,1.5907,lam.,0.0061,-0.82394
0.0955,0.0919,1.3357,0.000556,0.000231,0.000368,102.2,0.0055,2.4095,1.5949,lam.,0.0056,-0.78256
0.0778,0.085,1.3112,0.000488,0.000205,0.000328,88.5,0.0067,2.3773,1.5993,lam.,0.0051,-0.71799
0.0618,0.0776,1.2751,0.000427,0.000182,0.000292,75.4,0.0082,2.3449,1.6038,lam.,0.0046,-0.62479
0.0476,0.0695,1.2236,0.000372,0.000161,0.000259,62.7,0.0103,2.3135,1.6083,lam.,0.0041,-0.49648
0.0351,0.0609,1.1517,0.000323,0.000142,0.000228,50.4,0.0133,2.2852,1.6125,lam.,0.0036,-0.32616
0.0245,0.0517,1.053,0.000284,0.000126,0.000203,39.2,0.0177,2.2601,1.6163,lam.,0.0031,-0.10876
